[2026-08-05T05:28:11.168Z] GET http://localhost:3002/_next/static/webpack/689c9a150522d74e.webpack.hot-update.json → 200 (104ms, 69B)
[2026-08-05T05:28:11.386Z] GET http://localhost:3002/_next/static/webpack/app/page.689c9a150522d74e.hot-update.js → 200 (659ms, ?B)
[2026-08-05T05:28:11.386Z] GET http://localhost:3002/_next/static/webpack/webpack.689c9a150522d74e.hot-update.js → 200 (175ms, ?B)
[2026-08-05T05:29:15.274Z] GET http://localhost:3002/_next/static/webpack/dcc3feda58179d82.webpack.hot-update.json → 200 (40ms, 69B)
[2026-08-05T05:29:15.342Z] GET http://localhost:3002/_next/static/webpack/app/page.dcc3feda58179d82.hot-update.js → 200 (3ms, 23082B)
[2026-08-05T05:29:15.343Z] GET http://localhost:3002/_next/static/webpack/webpack.dcc3feda58179d82.hot-update.js → 200 (1ms, 858B)
[2026-08-05T05:30:41.908Z] GET http://localhost:3002/_next/static/webpack/f8db8be7d5cc6cf2.webpack.hot-update.json → 200 (35ms, 69B)
[2026-08-05T05:30:41.957Z] GET http://localhost:3002/_next/static/webpack/app/page.f8db8be7d5cc6cf2.hot-update.js → 200 (26ms, 23077B)
[2026-08-05T05:30:41.958Z] GET http://localhost:3002/_next/static/webpack/webpack.f8db8be7d5cc6cf2.hot-update.js → 200 (26ms, 858B)
[2026-08-05T05:32:58.731Z] GET http://localhost:3002/_next/static/webpack/136b73f58f2054c4.webpack.hot-update.json → 200 (78ms, 69B)
[2026-08-05T05:32:58.864Z] GET http://localhost:3002/_next/static/webpack/app/page.136b73f58f2054c4.hot-update.js → 200 (25ms, 22867B)
[2026-08-05T05:32:58.877Z] GET http://localhost:3002/_next/static/webpack/webpack.136b73f58f2054c4.hot-update.js → 200 (9ms, 858B)
[2026-08-05T05:37:51.565Z] GET http://localhost:3002/?_rsc=r3yhw → pending (?ms, ?B)
[2026-08-05T05:37:51.581Z] GET http://localhost:3002/_next/static/webpack/b6cb77a63d5c4fd5.webpack.hot-update.json → pending (?ms, ?B)
[2026-08-05T05:37:51.912Z] GET http://localhost:3002/_next/static/webpack/app/page.b6cb77a63d5c4fd5.hot-update.js → 200 (35ms, 38747B)
[2026-08-05T05:37:51.914Z] GET http://localhost:3002/_next/static/webpack/app/layout.b6cb77a63d5c4fd5.hot-update.js → 200 (31ms, 1591B)
